telegram_id,username,tickets_count
8311791437,papakarlo11i,526
1861288068,bebbia,518
789006207,BOCKPECHETE,507
950391046,whyniga,506
719038769,WillEinKuss,501
835562650,mooortem,483
6785032444,Arseniy_na_hate,483
73555541,Piiishan2,480
901130629,vitalik777777,474
1100889367,smokysgs,472
480707117,mytimeisreal,470
1229707243,RagnaFall,468
7708159857,fdasfasdffds,467
6427585155,pasya69,467
6779059746,aIfredos,466
1145563544,dess_dp,466
1506272385,CBATEP_APECT,465
280549507,WholeLotBlack,465
1805412189,arvvin,455
757835491,w4oso,454
678798918,ahmechka,453
1281821403,FIVESTARNURIK,451
1778923050,mikvladi,451
1157679004,sankabelka228,447
6279020562,S1rex_01,447
1942267108,mrazotaaaaaaaaaaaa,446
6039803982,diaxans,444
998523322,kamapulla,444
1338620139,yeMoftbar,441
7538965112,,439
981226963,suaold,436
1317414799,weqqwe1,435
7645231260,JinxWhale,434
649072490,youkenir,431
946356446,holderpep,423
8097127332,topokirka,421
85896395,oleg001,421
6000289760,razbanperesild,420
2144634554,EXPECT1VE2K25,419
773227353,nairima,416
5185851781,spblil,413
8229093344,ne_monk,413
765239701,web3goy,413
5288946574,kommdaTag,406
6644412336,maksimsol07,401
5138714106,NaRadostMame,400
7599763037,fuuucccccckkkkkkk,398
6978762073,Enternity_Officiall,397
418650370,justv1,395
1047969289,TheTimeGivesYouMind,388
1694772444,povzov,381
1172913436,why_glava,381
2013766810,Farsng,376
1771760860,Y3lkin,376
2083233821,rohach1,361
1058451426,bestonex,359
8055853715,maybeforex,356
7395490620,Yuldoshev_usa,355
1245471754,Speedy322,354
7050456672,onzho,353
2020091535,Kirieshka9_9,350
936831473,ymmsanya,347
5359993184,Bany_gg,341
952413062,pripey,338
7329008053,Spdxkxjjaj,333
7332824805,artartstall,333
7620683168,Luek45,330
6350052899,withloveyourss,329
5358891386,awaraged,325
5167113416,bigassenjoyer,324
423808776,deadbrainmonke,322
5599905833,niqorozza,322
7909479470,hogriq,320
8036383376,llacla,319
343548102,o_why,318
6990890819,,317
6280433233,PV_AMIRALl,316
2074395901,Serabudabu,306
1224972003,Awensis7777,303
103329993,Mrwhhh,301
80393544,Mentaltsar,299
1624234676,inzy_1,299
7497460394,maybeNIMA,298
1899600457,swagslizz,297
5408353536,RealHighRoller,294
5991847299,banwhych,292
6111280281,motorflush,290
811804113,xxx16lines,289
5679775491,godmodetg,287
910941849,miedv,284
1324817123,yukichwan,282
5249102124,sidney_666,280
1763386210,Horliteq,280
8199444161,BloknotDurovaAdmin,280
5577989651,PrvMmli,278
6949708552,retety227,278
6562194364,Starlinkoff,277
5144649465,kra17sava,277
421761770,Bismarck1,276
7224582227,shommbool,276
7179476496,t_madrid2,276
950986141,Chzkeks,274
1268573786,le_vouche,272
5861787608,psychosoftly,266
424706664,mentyarik008,265
1108927851,glufkgdjgdhkcfhxjg,265
1324492313,AK_RAF,261
5015830029,yudaevv,258
6375365788,Mits_061,258
2028055547,Vanysha69,258
216653124,MasterRahbar,255
1842697366,A001MP_RUS,253
1192509703,lervolverg,252
6901538187,polkalolkatrall,250
1956612366,sla8a8,248
1058466921,asar_me,247
7573742889,KillAngel00911,246
5502233570,mhdi_sp2,246
1560556883,kkai4ngel,245
837544232,wee4kick,243
6800978040,Ikintyyy,243
1693108151,fchernn,241
5829737898,POGYT,240
6964258763,ManagerPoTrafficy,240
970866895,Mega_Zakup,239
7951859619,Kduxidje,239
565814753,slademiu,233
5404984364,gippocratt,232
509394369,thetukan,231
1083318149,Ar_2007V,230
62289213,Sharifian6440,229
7463593778,Raman_amm,229
964626582,,229
6978541797,Jenyyy_Officiall,228
6163614363,ABTINNFT,228
6398563406,Hotyfy,227
1917312143,MrMil,227
648171815,gorillaglue,226
7388370047,kis_tg,225
8129349680,LegitalBanderas,224
