telegram_id,username,prize
504276778,Aleks_web3,🕶️ Durov Glasses
7731630031,skywrathmage,⭐ 3000 Starz
7765051394,andersoll_zolotovsky,⭐ 1000 Starz
6559080422,halfa_nett,⭐ 1000 Starz
7288052518,vanniel,⭐ 500 Starz
504276778,Aleks_web3,⭐ 500 Starz
304098685,Gashad0kuro,⭐ 500 Starz
7763093913,Salimanor,⭐ 100 Starz
665539825,denissooo,⭐ 100 Starz
435052974,Pavnik79,⭐ 100 Starz
6153881664,lildrughill,⭐ 100 Starz
